整理番号,調達機関名,調達機関所在地,調達件名,契約年月日,契約相手方名称,契約相手方所在地,法人番号,落札金額
BOJ-ALLOC-0-デジタル庁,日本銀行,東京都中央区日本橋本石町,令和2年度 デジタル庁 予算配分,2020-04-01,デジタル庁,東京都千代田区霞が関,1000000000000,2181000000000
BOJ-ALLOC-1-デジタル庁,日本銀行,東京都中央区日本橋本石町,令和3年度 デジタル庁 予算配分,2021-04-01,デジタル庁,東京都千代田区霞が関,1000000000000,1957000000000
BOJ-ALLOC-2-デジタル庁,日本銀行,東京都中央区日本橋本石町,令和4年度 デジタル庁 予算配分,2022-04-01,デジタル庁,東京都千代田区霞が関,1000000000000,1591000000000
BOJ-ALLOC-3-デジタル庁,日本銀行,東京都中央区日本橋本石町,令和5年度 デジタル庁 予算配分,2023-04-01,デジタル庁,東京都千代田区霞が関,1000000000000,2538000000000
BOJ-ALLOC-4-デジタル庁,日本銀行,東京都中央区日本橋本石町,令和6年度 デジタル庁 予算配分,2024-04-01,デジタル庁,東京都千代田区霞が関,1000000000000,1138000000000
BOJ-ALLOC-0-厚生労働省,日本銀行,東京都中央区日本橋本石町,令和2年度 厚生労働省 予算配分,2020-04-01,厚生労働省,東京都千代田区霞が関,1000000000000,1775000000000
BOJ-ALLOC-1-厚生労働省,日本銀行,東京都中央区日本橋本石町,令和3年度 厚生労働省 予算配分,2021-04-01,厚生労働省,東京都千代田区霞が関,1000000000000,1951000000000
BOJ-ALLOC-2-厚生労働省,日本銀行,東京都中央区日本橋本石町,令和4年度 厚生労働省 予算配分,2022-04-01,厚生労働省,東京都千代田区霞が関,1000000000000,2546000000000
BOJ-ALLOC-3-厚生労働省,日本銀行,東京都中央区日本橋本石町,令和5年度 厚生労働省 予算配分,2023-04-01,厚生労働省,東京都千代田区霞が関,1000000000000,2556000000000
BOJ-ALLOC-4-厚生労働省,日本銀行,東京都中央区日本橋本石町,令和6年度 厚生労働省 予算配分,2024-04-01,厚生労働省,東京都千代田区霞が関,1000000000000,1628000000000
BOJ-ALLOC-0-国土交通省,日本銀行,東京都中央区日本橋本石町,令和2年度 国土交通省 予算配分,2020-04-01,国土交通省,東京都千代田区霞が関,1000000000000,1073000000000
BOJ-ALLOC-1-国土交通省,日本銀行,東京都中央区日本橋本石町,令和3年度 国土交通省 予算配分,2021-04-01,国土交通省,東京都千代田区霞が関,1000000000000,2441000000000
BOJ-ALLOC-2-国土交通省,日本銀行,東京都中央区日本橋本石町,令和4年度 国土交通省 予算配分,2022-04-01,国土交通省,東京都千代田区霞が関,1000000000000,2099000000000
BOJ-ALLOC-3-国土交通省,日本銀行,東京都中央区日本橋本石町,令和5年度 国土交通省 予算配分,2023-04-01,国土交通省,東京都千代田区霞が関,1000000000000,706000000000
BOJ-ALLOC-4-国土交通省,日本銀行,東京都中央区日本橋本石町,令和6年度 国土交通省 予算配分,2024-04-01,国土交通省,東京都千代田区霞が関,1000000000000,1879000000000
BOJ-ALLOC-0-防衛省,日本銀行,東京都中央区日本橋本石町,令和2年度 防衛省 予算配分,2020-04-01,防衛省,東京都千代田区霞が関,1000000000000,2283000000000
BOJ-ALLOC-1-防衛省,日本銀行,東京都中央区日本橋本石町,令和3年度 防衛省 予算配分,2021-04-01,防衛省,東京都千代田区霞が関,1000000000000,2158000000000
BOJ-ALLOC-2-防衛省,日本銀行,東京都中央区日本橋本石町,令和4年度 防衛省 予算配分,2022-04-01,防衛省,東京都千代田区霞が関,1000000000000,1884000000000
BOJ-ALLOC-3-防衛省,日本銀行,東京都中央区日本橋本石町,令和5年度 防衛省 予算配分,2023-04-01,防衛省,東京都千代田区霞が関,1000000000000,1620000000000
BOJ-ALLOC-4-防衛省,日本銀行,東京都中央区日本橋本石町,令和6年度 防衛省 予算配分,2024-04-01,防衛省,東京都千代田区霞が関,1000000000000,2946000000000
BOJ-ALLOC-0-文部科学省,日本銀行,東京都中央区日本橋本石町,令和2年度 文部科学省 予算配分,2020-04-01,文部科学省,東京都千代田区霞が関,1000000000000,2823000000000
BOJ-ALLOC-1-文部科学省,日本銀行,東京都中央区日本橋本石町,令和3年度 文部科学省 予算配分,2021-04-01,文部科学省,東京都千代田区霞が関,1000000000000,651000000000
BOJ-ALLOC-2-文部科学省,日本銀行,東京都中央区日本橋本石町,令和4年度 文部科学省 予算配分,2022-04-01,文部科学省,東京都千代田区霞が関,1000000000000,2260000000000
BOJ-ALLOC-3-文部科学省,日本銀行,東京都中央区日本橋本石町,令和5年度 文部科学省 予算配分,2023-04-01,文部科学省,東京都千代田区霞が関,1000000000000,2805000000000
BOJ-ALLOC-4-文部科学省,日本銀行,東京都中央区日本橋本石町,令和6年度 文部科学省 予算配分,2024-04-01,文部科学省,東京都千代田区霞が関,1000000000000,658000000000
BOJ-ALLOC-0-財務省,日本銀行,東京都中央区日本橋本石町,令和2年度 財務省 予算配分,2020-04-01,財務省,東京都千代田区霞が関,1000000000000,2221000000000
BOJ-ALLOC-1-財務省,日本銀行,東京都中央区日本橋本石町,令和3年度 財務省 予算配分,2021-04-01,財務省,東京都千代田区霞が関,1000000000000,2728000000000
BOJ-ALLOC-2-財務省,日本銀行,東京都中央区日本橋本石町,令和4年度 財務省 予算配分,2022-04-01,財務省,東京都千代田区霞が関,1000000000000,835000000000
BOJ-ALLOC-3-財務省,日本銀行,東京都中央区日本橋本石町,令和5年度 財務省 予算配分,2023-04-01,財務省,東京都千代田区霞が関,1000000000000,895000000000
BOJ-ALLOC-4-財務省,日本銀行,東京都中央区日本橋本石町,令和6年度 財務省 予算配分,2024-04-01,財務省,東京都千代田区霞が関,1000000000000,1850000000000
BOJ-ALLOC-0-経済産業省,日本銀行,東京都中央区日本橋本石町,令和2年度 経済産業省 予算配分,2020-04-01,経済産業省,東京都千代田区霞が関,1000000000000,2027000000000
