source,target,amount_jpy,description,date,type
高市早苗後援会,大和総合印刷株式会社,2500000,ポスター等印刷代,2023-04-10,expenditure
高市早苗後援会,フロンティア企画プロモーション,5000000,政治資金パーティー運営費,2023-05-20,expenditure
日本通信ネットワーク株式会社,高市早苗後援会,1000000,企業献金,2023-06-15,income
自由民主党奈良県第二選挙区支部,高市早苗後援会,15000000,支部からの交付金,2023-07-01,income
近畿大和建設株式会社,自由民主党奈良県第二選挙区支部,3000000,企業献金,2023-02-10,income
アーバン不動産開発株式会社,新時代政策研究会(高市早苗),500000,企業献金,2023-03-25,income
新時代政策研究会(高市早苗),帝国リサーチ株式会社,1200000,政策調査委託費,2023-08-10,expenditure
高市早苗を日本初の女性総理大臣にする会,ジャパン・メディア広報,3000000,広報活動費,2023-09-05,expenditure
八洲商事株式会社,高市早苗を日本初の女性総理大臣にする会,2000000,企業献金,2023-01-20,income
個人献金者(匿名多数),高市早苗を日本初の女性総理大臣にする会,8500000,個人献金合算,2023-12-31,income
個人献金者(匿名多数),新時代政策研究会(高市早苗),4200000,個人献金合算,2023-12-31,income
自由民主党本部,自由民主党奈良県第二選挙区支部,20000000,党本部交付金,2023-10-01,income
高市早苗後援会,関西セントラル交通株式会社,800000,移動用車両リース代,2023-04-15,expenditure
次世代テクノロジーシステムズ,自由民主党奈良県第二選挙区支部,1500000,企業献金,2023-11-11,income
高市早苗後援会,みらい戦略コンサルティング,4000000,選挙戦略コンサルティング,2023-10-15,expenditure
自由民主党奈良県第二選挙区支部,電通クリエイティブエージェンシー,6000000,PR動画制作費,2023-11-20,expenditure
医療法人社団 健真会,高市早苗後援会,1000000,団体献金,2023-05-15,income
大和製薬株式会社,新時代政策研究会(高市早苗),2000000,企業献金,2023-06-25,income
高市早苗を日本初の女性総理大臣にする会,ホテルニューオータニ(パーティー会場),12000000,会場費及び飲食代,2023-07-20,expenditure
関西第一電力株式会社,自由民主党奈良県第二選挙区支部,3500000,企業献金,2023-08-05,income
自由民主党奈良県第二選挙区支部,オフィスマックス株式会社,500000,備品購入費,2023-09-10,expenditure
新日鉄鋼業株式会社,高市早苗後援会,2500000,企業献金,2023-10-25,income
新時代政策研究会(高市早苗),霞ヶ関総合法律事務所,1000000,顧問弁護士費用,2023-11-05,expenditure
トヨタ自動車株式会社,高市早苗を日本初の女性総理大臣にする会,5000000,企業献金,2023-12-10,income
自由民主党奈良県第二選挙区支部,奈良県連,3000000,県連への上納金,2023-12-25,expenditure
